"1","Шакотіс Гурман кг","89","99"
"2","Торт Кияночка кг","79","99"
"3","Завиток здобний 0,3кг","7","99"
"4","Пиріг Ягідний кг.","62","99"
"5","Пиріг з вишнями та маком кг","39","99"
"6","Пиріг Неаполь кг","69","99"
"7","Пиріг Наполеон кг","62","99"
"8","Пиріг Вишневий кг.","59","99"
"9","Пиріг Жіночі примхи кг.","69","99"
"10","Пиріг Вишневий 400г","22","99"
"11","Пиріг здобний яблучний 500г","15","99"
"12","Пиріг Панчо вишня кг.","69","99"
"13","Пиріг Полуничний кг.","59","99"
"14","Пиріг Чорничний з йогуртом кг","62","99"
"15","Пиріг маковий 0,5кг","16","99"
"16","Пиріг з персиковим суфле кг","59","99"
"17","Пиріг Рафаелло кг.","59","99"
"18","Тістечко Весела бджілка кг","53","99"
"19","Тістечко тарталетка з білковим кремом кг","49","99"
"20","Тістечко Монако кг.","51","99"
"21","Тістечко Горіховий карнавал кг","94","99"
"22","Тістечко Каштан кг.","42","99"
"23","Тістечко Заварне з масляним кремом кг.","59","99"
"24","Тістечко тарталетка з фруктами кг","62","99"
"25","Тістечко Заварне з вершковим кремом кг.","52","99"
"26","Печиво Жіноча спокуса кг","129","99"
"27","Тістечко Софі кг","52","99"
"28","Сушки фірмові ДБКК 300г","7","99"
"29","Сушка Малятко ДБКК 300г","7","19"
"30","Сушка ванільна ДБКК нова 300г","7","39"
"31","Сушка Човники ДБКК 300г","7","89"
"32","Сушка Човники ДБКК кг","20","69"
"33","Сушка ванільна ДБКК кг","20","89"
"34","Сушки Киевхлеб Малютка 400г Украина","10","19"
"35","Сушки Киевхлеб сдобные с ванилином 400г Украина","10","19"
"36","Сушки Киевхлеб горчичные 400г Украина","10","19"
"37","Сушки Киевхлеб киевские 500г Украина","16","39"
"38","Сушки Киевхлеб Снежинка 400г Украина","12","59"
"39","Сушки Човники з маком Київхліб уп.350г","13","49"
"40","Сушка гірчична Котигорошко 350г","8","99"
"41","Сушка Малютка з маком Котигорошко 350г","9","79"
"42","Сушка Сніжинка Котигорошко 350г","11","39"
"43","Сушка Малютка Котигорошко 350г","8","89"
"44","Сушка Човники з маком Котигорошко 350г","11","99"
"45","Сушка Київська Котигорошко 300г","10","29"
"46","Сушка Домашня НХЗ кг","18","69"
"47","Сушки Малютка Marka Promo 0,35кг","5","99"
"48","Сушки ванільні прості Marka Promo 0,35кг","5","99"
"49","Сушки Малютка Marka Promo 1кг","16","99"
"50","Сушки ванільні прості Marka Promo 1кг","14","99"
