"1","Ріжок з повидлом 300гр","8","99"
"2","Булочка з маком та шоколадом 70гр.","3","99"
"3","Булочка сіточка 70г","4","99"
"4","Ватрушка з сиром 70гр.","3","99"
"5","Булочка Сирна паличка 75гр.","2","99"
"6","Булочка Баварська 60г","1","49"
"7","Булочка з сирно-шпинатною начинкою 50г","3","49"
"8","Кульки сирні Боу-де-кежо","89","99"
"9","Булочка Київська плюшка 100г","3","49"
"10","Булочка Розана 70гр.","3","99"
"11","Квіточка ванільна 0,4кг","12","99"
"12","Булочка Плюшка з вишнями 100г","4","99"
"13","Ріжок з маком 70г","3","99"
"14","Рогалик висівковий Київхліб Київські 1гат.уп.250г","3","59"
"15","Булочки Киевхлеб Малятко 9шт х 450г Украина","7","99"
"16","Рогалик Студентський Київхліб з посипкою в/г уп.360г","6","89"
"17","Булочки для Гамбургера Київхліб 180г","3","79"
"18","Булочки Киевхлеб сдобные 200г Украина","5","39"
"19","Булочки Киевхлеб Малятко 5шт х 250г Украина","4","79"
"20","Булка Завиванець з вишнею Кулиничі в/с 400г","12","59"
"21","Булочка для гамбургера Так 200г","6","29"
"22","Булочка для гамбургера Юніверсал розрізна уп.4*60г","8","79"
"23","Булочки Фрутті з вишнею 80г","3","99"
"24","Баба ромова 150г","4","99"
"25","Булочка гамбургер зерновий 50г","1","99"
"26","Рогалики Домашні на молочній сироватці з кунжутом Кулиничі в уп.360г","6","69"
"27","Булочка кукурудзяна 60г","1","99"
"28","Булочки Фрутті з персиком 80г","3","99"
"29","Булочки Фрутті з яблуком 80г","3","99"
"30","Бублик Лакомка 100г","2","99"
"31","Бублик Український 100г","2","99"
"32","Торт Спокуса кг.","62","99"
"33","Торт Пінчер кг.","54","99"
"34","Медовик по-Домашньому кг","64","99"
"35","Торт Швейцарський морквяний кг","65","99"
"36","Торт Наполеон бабусин кг","64","99"
"37","Шакотіс елітний кг","69","99"
"38","Пиріг Бісквітно-фруктовий кг.","99","99"
"39","Пиріг Медовий кг.","57","99"
"40","Пиріг Пражський кг.","57","99"
"41","Пиріг Сметанник кг.","69","99"
"42","Торт Полуничний кг","55","99"
"43","Торт Сметанковий кг","64","99"
"44","Торт 33 Задоволення кг","55","99"
"45","Торт Ананасовий кг","66","99"
"46","Шакотіс кг","59","99"
"47","Торт П'яна вишня кг.","59","99"
"48","Торт Анжела Девіс кг.","72","99"
"49","Торт Прага кг.","76","99"
"50","Торт Карамельний кг","69","99"
