"1","Сушка Малятко ДБКК кг","20","29"
"2","Сушки Пятачок Донецький БКК 180г","5","49"
"3","Хлібці рисові мультизлакові Жменька 100г","10","99"
"4","Хлібці пшенично-гречані Крекіс Екоп 100г","5","39"
"5","Хлібці пшеничні Крекіс Екоп 100г","4","69"
"6","Хлібці хрусткі з часником Щедрі 100г","8","69"
"7","Хлібці хрусткі житні Круазетт 200г","22","89"
"8","Хлібці хрусткі житьно-пшеничні з сиром Круазетт 200г","22","89"
"9","Хлібці житні Легкі Sonko 170г","18","99"
"10","Хлібці 7 злаків Легкі Sonko 170г","18","99"
"11","Хлібці пшеничні хрусткі Щедрі 100г","8","69"
"12","Хлібці житні хрусткі Щедрі 100г","8","69"
"13","Грісіні класичні Alis 120г","25","49"
"14","Хлібні палички солоні Roberto Крокіні з розмарином 250г","34","79"
"15","Хлібні палички солоні Roberto Крокіні з кунжутом 150г","22","49"
"16","Хлібні палички солоні Roberto Крокіні 250г","34","79"
"17","Хлібні палички солоні Roberto Крокіні з томатом 150г","22","49"
"18","Сухарі ДБКК з родзинками 240г","9","29"
"19","Сухарі здобні з родзинками ДБКК кг","30","49"
"20","Сухарі гірчичні Київхліб уп.300г","10","19"
"21","Сухарі Київські Київхліб коробка 500г","18","39"
"22","Сухарі гірчичні Київхліб коробка 500г","15","89"
"23","Сухарі Київські Київхліб уп.300г","11","69"
"24","Сухарі Московські Київхліб уп.300г","9","59"
"25","Сухарі здобні гірчичні Котигорошко 300г","10","29"
"26","Сухарі здобні Московські Котигорошко 300г","8","49"
"27","Сухарі здобні Котигорошко Київські 300г","11","39"
"28","Сухаріки Крутонс з травами Leimer 100г","33","89"
"29","Сухаріки Крутонс з часником Leimer 100г","33","89"
"30","Сухарі Новокиївські Marka Promo 0,3кг","5","99"
"31","Сухарі Новокиївські Marka Promo 0,9кг","17","99"
"32","Сухарики з декількох видів зерна Finn Crisp 175г","29","89"
"33","Сухарики житні з кмином Finn Crisp 200г","29","89"
"34","Сухарики житні з цільнозмеленого борошна Finn Crisp 400г","53","49"
"35","Сухарики житні з коріандром Finn Crisp 85г","18","19"
"36","Соломка солодка ДБКК Хрустик 100г","3","29"
"37","Соломка солодка Київхліб 250г","9","59"
"38","Соломка солодка Київхліб 100г","3","59"
"39","Соломка солодка Київхліб 500г","14","39"
"40","Соломка Котигорошко Київська з маком 500г","17","89"
"41","Соломка Mini Sticks Croco 100г","4","99"
"42","Соломка з сіллю Croco 100г","6","99"
"43","Соломка з сіллю Croco Лонг 80г","3","99"
"44","Соломка з кунжутом Croco Лонг 80г","3","99"
"45","Соломка з кунжутом Croco 40г","1","99"
"46","Соломка з сіллю Croco Макс 80г","3","99"
"47","Соломка з сіллю Croco 40г","1","99"
"48","Соломка Chio-Wolf Stickletti 40г","2","69"
"49","Соломка солона Chio-Wolf Stickletti Brezli 250г","13","79"
"50","Соломка картопляна з Шашликом Chio-Wolf 100г","9","69"
